pin,bank,site,tile,pin_function
A1,502,IOPAD_X1Y28,PSS2_X32Y105,PS_DDR_DM0_502
A2,502,IOPAD_X1Y34,PSS2_X32Y105,PS_DDR_DQ2_502
A4,502,IOPAD_X1Y35,PSS2_X32Y105,PS_DDR_DQ3_502
A5,500,IOPAD_X1Y83,PSS2_X32Y105,PS_MIO6_500
A6,500,IOPAD_X1Y82,PSS2_X32Y105,PS_MIO5_500
A7,500,IOPAD_X1Y78,PSS2_X32Y105,PS_MIO1_500
A9,501,IOPAD_X1Y120,PSS2_X32Y105,PS_MIO43_501
A10,501,IOPAD_X1Y114,PSS2_X32Y105,PS_MIO37_501
A11,501,IOPAD_X1Y113,PSS2_X32Y105,PS_MIO36_501
A12,501,IOPAD_X1Y111,PSS2_X32Y105,PS_MIO34_501
A14,501,IOPAD_X1Y109,PSS2_X32Y105,PS_MIO32_501
A15,501,IOPAD_X1Y103,PSS2_X32Y105,PS_MIO26_501
A16,501,IOPAD_X1Y101,PSS2_X32Y105,PS_MIO24_501
A17,501,IOPAD_X1Y97,PSS2_X32Y105,PS_MIO20_501
A19,501,IOPAD_X1Y93,PSS2_X32Y105,PS_MIO16_501
A20,35,IOB_X1Y145,RIOB33_X73Y145,IO_L2N_T0_AD8N_35
B2,502,IOPAD_X1Y64,PSS2_X32Y105,PS_DDR_DQS_N0_502
B3,502,IOPAD_X1Y33,PSS2_X32Y105,PS_DDR_DQ1_502
B4,502,IOPAD_X1Y72,PSS2_X32Y105,PS_DDR_DRST_B_502
B5,500,IOPAD_X1Y86,PSS2_X32Y105,PS_MIO9_500
B7,500,IOPAD_X1Y81,PSS2_X32Y105,PS_MIO4_500
B8,500,IOPAD_X1Y79,PSS2_X32Y105,PS_MIO2_500
B9,501,IOPAD_X1Y128,PSS2_X32Y105,PS_MIO51_501
B10,501,IOPAD_X1Y134,PSS2_X32Y105,PS_SRST_B_501
B12,501,IOPAD_X1Y125,PSS2_X32Y105,PS_MIO48_501
B13,501,IOPAD_X1Y127,PSS2_X32Y105,PS_MIO50_501
B14,501,IOPAD_X1Y124,PSS2_X32Y105,PS_MIO47_501
B15,501,IOPAD_X1Y122,PSS2_X32Y105,PS_MIO45_501
B17,501,IOPAD_X1Y99,PSS2_X32Y105,PS_MIO22_501
B18,501,IOPAD_X1Y95,PSS2_X32Y105,PS_MIO18_501
B19,35,IOB_X1Y146,RIOB33_X73Y145,IO_L2P_T0_AD8P_35
B20,35,IOB_X1Y147,RIOB33_X73Y147,IO_L1N_T0_AD0N_35
C1,502,IOPAD_X1Y38,PSS2_X32Y105,PS_DDR_DQ6_502
