pin,bank,site,tile,pin_function
A3,115,OPAD_X0Y6,GTX_CHANNEL_3_X99Y150,MGTXTXN3_115
A4,115,OPAD_X0Y7,GTX_CHANNEL_3_X99Y150,MGTXTXP3_115
A8,16,IOB_X0Y157,LIOB33_X0Y157,IO_L21N_T3_DQS_16
A9,16,IOB_X0Y158,LIOB33_X0Y157,IO_L21P_T3_DQS_16
A10,16,IOB_X0Y153,LIOB33_X0Y153,IO_L23N_T3_16
A11,16,IOB_X0Y154,LIOB33_X0Y153,IO_L23P_T3_16
A13,15,IOB_X0Y142,LIOB33_X0Y141,IO_L4P_T0_AD9P_15
A14,15,IOB_X0Y141,LIOB33_X0Y141,IO_L4N_T0_AD9N_15
A15,15,IOB_X0Y131,LIOB33_X0Y131,IO_L9N_T1_DQS_AD11N_15
A16,15,IOB_X0Y133,LIOB33_X0Y133,IO_L8N_T1_AD3N_15
A18,15,IOB_X0Y129,LIOB33_X0Y129,IO_L10N_T1_AD4N_15
A19,15,IOB_X0Y109,LIOB33_X0Y109,IO_L20N_T3_A19_15
A20,15,IOB_X0Y106,LIOB33_X0Y105,IO_L22P_T3_A17_15
A21,15,IOB_X0Y105,LIOB33_X0Y105,IO_L22N_T3_A16_15
AA1,34,IOB_X1Y56,RIOB18_X43Y55,IO_L22P_T3_34
AA3,34,IOB_X1Y54,RIOB18_X43Y53,IO_L23P_T3_34
AA4,34,IOB_X1Y52,RIOB18_X43Y51,IO_L24P_T3_34
AA5,33,IOB_X1Y48,RIOB18_X43Y47,IO_L1P_T0_33
AA6,33,IOB_X1Y44,RIOB18_X43Y43,IO_L3P_T0_DQS_33
AA8,33,IOB_X1Y39,RIOB18_X43Y39,IO_L5N_T0_33
AA9,33,IOB_X1Y40,RIOB18_X43Y39,IO_L5P_T0_33
AA10,33,IOB_X1Y42,RIOB18_X43Y41,IO_L4P_T0_33
AA11,33,IOB_X1Y10,RIOB18_X43Y9,IO_L20P_T3_33
AA13,33,IOB_X1Y7,RIOB18_X43Y7,IO_L21N_T3_DQS_33
AA14,13,IOB_X0Y14,LIOB33_X0Y13,IO_L18P_T2_13
AA15,13,IOB_X0Y13,LIOB33_X0Y13,IO_L18N_T2_13
AA16,13,IOB_X0Y16,LIOB33_X0Y15,IO_L17P_T2_13
AA18,13,IOB_X0Y20,LIOB33_X0Y19,IO_L15P_T2_DQS_13
AA19,13,IOB_X0Y30,LIOB33_X0Y29,IO_L10P_T1_13
AA20,13,IOB_X0Y34,LIOB33_X0Y33,IO_L8P_T1_13
AA21,13,IOB_X0Y32,LIOB33_X0Y31,IO_L9P_T1_DQS_13
AB1,34,IOB_X1Y55,RIOB18_X43Y55,IO_L22N_T3_34
AB2,34,IOB_X1Y53,RIOB18_X43Y53,IO_L23N_T3_34
AB3,34,IOB_X1Y51,RIOB18_X43Y51,IO_L24N_T3_34
AB5,33,IOB_X1Y47,RIOB18_X43Y47,IO_L1N_T0_33
AB6,33,IOB_X1Y43,RIOB18_X43Y43,IO_L3N_T0_DQS_33
AB7,33,IOB_X1Y45,RIOB18_X43Y45,IO_L2N_T0_33
AB8,33,IOB_X1Y46,RIOB18_X43Y45,IO_L2P_T0_33
AB10,33,IOB_X1Y41,RIOB18_X43Y41,IO_L4N_T0_33
AB11,33,IOB_X1Y9,RIOB18_X43Y9,IO_L20N_T3_33
AB12,33,IOB_X1Y5,RIOB18_X43Y5,IO_L22N_T3_33
AB13,33,IOB_X1Y6,RIOB18_X43Y5,IO_L22P_T3_33
AB15,13,IOB_X0Y18,LIOB33_X0Y17,IO_L16P_T2_13
AB16,13,IOB_X0Y17,LIOB33_X0Y17,IO_L16N_T2_13
AB17,13,IOB_X0Y15,LIOB33_X0Y15,IO_L17N_T2_13
AB18,13,IOB_X0Y19,LIOB33_X0Y19,IO_L15N_T2_DQS_13
AB20,13,IOB_X0Y29,LIOB33_X0Y29,IO_L10N_T1_13
AB21,13,IOB_X0Y33,LIOB33_X0Y33,IO_L8N_T1_13
AB22,13,IOB_X0Y31,LIOB33_X0Y31,IO_L9N_T1_DQS_13
B1,115,OPAD_X0Y4,GTX_CHANNEL_2_X99Y139,MGTXTXN2_115
B2,115,OPAD_X0Y5,GTX_CHANNEL_2_X99Y139,MGTXTXP2_115
B5,115,IPAD_X0Y24,GTX_CHANNEL_3_X99Y150,MGTXRXN3_115
B6,115,IPAD_X0Y25,GTX_CHANNEL_3_X99Y150,MGTXRXP3_115
B8,16,IOB_X0Y155,LIOB33_X0Y155,IO_L22N_T3_16
B10,16,IOB_X0Y159,LIOB33_X0Y159,IO_L20N_T3_16
B11,16,IOB_X0Y160,LIOB33_X0Y159,IO_L20P_T3_16
B12,15,IOB_X0Y145,LIOB33_X0Y145,IO_L2N_T0_AD8N_15
B13,15,IOB_X0Y139,LIOB33_X0Y139,IO_L5N_T0_AD2N_15
B15,15,IOB_X0Y132,LIOB33_X0Y131,IO_L9P_T1_DQS_AD11P_15
B16,15,IOB_X0Y134,LIOB33_X0Y133,IO_L8P_T1_AD3P_15
B17,15,IOB_X0Y130,LIOB33_X0Y129,IO_L10P_T1_AD4P_15
B18,15,IOB_X0Y110,LIOB33_X0Y109,IO_L20P_T3_A20_15
B20,15,IOB_X0Y102,LIOB33_X0Y101,IO_L24P_T3_RS1_15
B21,15,IOB_X0Y101,LIOB33_X0Y101,IO_L24N_T3_RS0_15
B22,15,IOB_X0Y107,LIOB33_X0Y107,IO_L21N_T3_DQS_A18_15
C3,115,IPAD_X0Y18,GTX_CHANNEL_2_X99Y139,MGTXRXN2_115
C4,115,IPAD_X0Y19,GTX_CHANNEL_2_X99Y139,MGTXRXP2_115
C8,16,IOB_X0Y156,LIOB33_X0Y155,IO_L22P_T3_16
C9,16,IOB_X0Y161,LIOB33_X0Y161,IO_L19N_T3_VREF_16
C10,16,IOB_X0Y185,LIOB33_X0Y185,IO_L7N_T1_16
C12,15,IOB_X0Y146,LIOB33_X0Y145,IO_L2P_T0_AD8P_15
C13,15,IOB_X0Y140,LIOB33_X0Y139,IO_L5P_T0_AD2P_15
C14,15,IOB_X0Y136,LIOB33_X0Y135,IO_L7P_T1_AD10P_15
C15,15,IOB_X0Y135,LIOB33_X0Y135,IO_L7N_T1_AD10N_15
C17,15,IOB_X0Y126,LIOB33_X0Y125,IO_L12P_T1_MRCC_AD5P_15
