pin,bank,site,tile,pin_function
A1,500,IOPAD_X1Y78,PSS2_X32Y105,PS_MIO1_500
A2,500,IOPAD_X1Y79,PSS2_X32Y105,PS_MIO2_500
A3,500,IOPAD_X1Y82,PSS2_X32Y105,PS_MIO5_500
A4,500,IOPAD_X1Y83,PSS2_X32Y105,PS_MIO6_500
A6,500,IOPAD_X1Y90,PSS2_X32Y105,PS_MIO13_500
A7,501,IOPAD_X1Y95,PSS2_X32Y105,PS_MIO18_501
A8,501,IOPAD_X1Y97,PSS2_X32Y105,PS_MIO20_501
A9,501,IOPAD_X1Y113,PSS2_X32Y105,PS_MIO36_501
A11,501,IOPAD_X1Y107,PSS2_X32Y105,PS_MIO30_501
A12,501,IOPAD_X1Y105,PSS2_X32Y105,PS_MIO28_501
A13,501,IOPAD_X1Y103,PSS2_X32Y105,PS_MIO26_501
A14,501,IOPAD_X1Y99,PSS2_X32Y105,PS_MIO22_501
A16,35,IOB_X1Y132,RIOB33_X73Y131,IO_L9P_T1_DQS_AD3P_35
A17,35,IOB_X1Y131,RIOB33_X73Y131,IO_L9N_T1_DQS_AD3N_35
A18,35,IOB_X1Y130,RIOB33_X73Y129,IO_L10P_T1_AD11P_35
A19,35,IOB_X1Y129,RIOB33_X73Y129,IO_L10N_T1_AD11N_35
A21,35,IOB_X1Y120,RIOB33_X73Y119,IO_L15P_T2_DQS_AD12P_35
A22,35,IOB_X1Y119,RIOB33_X73Y119,IO_L15N_T2_DQS_AD12N_35
AA1,502,IOPAD_X1Y58,PSS2_X32Y105,PS_DDR_DQ26_502
AA2,502,IOPAD_X1Y31,PSS2_X32Y105,PS_DDR_DM3_502
AA3,502,IOPAD_X1Y56,PSS2_X32Y105,PS_DDR_DQ24_502
AA4,13,IOB_X0Y13,LIOB33_X0Y13,IO_L18N_T2_13
AA6,13,IOB_X0Y21,LIOB33_X0Y21,IO_L14N_T2_SRCC_13
AA7,13,IOB_X0Y22,LIOB33_X0Y21,IO_L14P_T2_SRCC_13
AA8,13,IOB_X0Y27,LIOB33_X0Y27,IO_L11N_T1_SRCC_13
AA9,13,IOB_X0Y28,LIOB33_X0Y27,IO_L11P_T1_SRCC_13
AA11,13,IOB_X0Y34,LIOB33_X0Y33,IO_L8P_T1_13
AA12,13,IOB_X0Y36,LIOB33_X0Y35,IO_L7P_T1_13
AA13,33,IOB_X1Y3,RIOB33_X73Y3,IO_L23N_T3_33
AA14,33,IOB_X1Y5,RIOB33_X73Y5,IO_L22N_T3_33
AA16,33,IOB_X1Y14,RIOB33_X73Y13,IO_L18P_T2_33
AA17,33,IOB_X1Y16,RIOB33_X73Y15,IO_L17P_T2_33
AA18,33,IOB_X1Y25,RIOB33_X73Y25,IO_L12N_T1_MRCC_33
AA19,33,IOB_X1Y27,RIOB33_X73Y27,IO_L11N_T1_SRCC_33
AA21,33,IOB_X1Y34,RIOB33_X73Y33,IO_L8P_T1_33
AA22,33,IOB_X1Y36,RIOB33_X73Y35,IO_L7P_T1_33
AB1,13,IOB_X0Y19,LIOB33_X0Y19,IO_L15N_T2_DQS_13
AB2,13,IOB_X0Y20,LIOB33_X0Y19,IO_L15P_T2_DQS_13
AB4,13,IOB_X0Y17,LIOB33_X0Y17,IO_L16N_T2_13
AB5,13,IOB_X0Y18,LIOB33_X0Y17,IO_L16P_T2_13
AB6,13,IOB_X0Y15,LIOB33_X0Y15,IO_L17N_T2_13
AB7,13,IOB_X0Y16,LIOB33_X0Y15,IO_L17P_T2_13
AB9,13,IOB_X0Y31,LIOB33_X0Y31,IO_L9N_T1_DQS_13
AB10,13,IOB_X0Y32,LIOB33_X0Y31,IO_L9P_T1_DQS_13
AB11,13,IOB_X0Y33,LIOB33_X0Y33,IO_L8N_T1_13
