pin,bank,site,tile,pin_function
A3,216,IPAD_X1Y12,GTP_CHANNEL_1_X97Y121,MGTPRXN1_216
A4,216,IPAD_X1Y13,GTP_CHANNEL_1_X97Y121,MGTPRXP1_216
A9,15,IOB_X0Y93,LIOB33_X0Y93,IO_L3N_T0_DQS_AD1N_15
A10,15,IOB_X0Y89,LIOB33_X0Y89,IO_L5N_T0_AD9N_15
A12,15,IOB_X0Y85,LIOB33_X0Y85,IO_L7N_T1_AD2N_15
A13,15,IOB_X0Y84,LIOB33_X0Y83,IO_L8P_T1_AD10P_15
A14,15,IOB_X0Y83,LIOB33_X0Y83,IO_L8N_T1_AD10N_15
A15,15,IOB_X0Y79,LIOB33_X0Y79,IO_L10N_T1_AD11N_15
A17,15,IOB_X0Y69,LIOB33_X0Y69,IO_L15N_T2_DQS_ADV_B_15
B1,216,OPAD_X0Y6,GTP_CHANNEL_3_X97Y150,MGTPTXN3_216
B2,216,OPAD_X0Y7,GTP_CHANNEL_3_X97Y150,MGTPTXP3_216
B5,216,IPAD_X1Y17,GTP_COMMON_X97Y127,MGTREFCLK1N_216
B6,216,IPAD_X1Y16,GTP_COMMON_X97Y127,MGTREFCLK1P_216
B9,15,IOB_X0Y94,LIOB33_X0Y93,IO_L3P_T0_DQS_AD1P_15
B10,15,IOB_X0Y90,LIOB33_X0Y89,IO_L5P_T0_AD9P_15
B11,15,IOB_X0Y91,LIOB33_X0Y91,IO_L4N_T0_15
B12,15,IOB_X0Y86,LIOB33_X0Y85,IO_L7P_T1_AD2P_15
B14,15,IOB_X0Y80,LIOB33_X0Y79,IO_L10P_T1_AD11P_15
B15,15,IOB_X0Y81,LIOB33_X0Y81,IO_L9N_T1_DQS_AD3N_15
B16,15,IOB_X0Y70,LIOB33_X0Y69,IO_L15P_T2_DQS_15
B17,15,IOB_X0Y67,LIOB33_X0Y67,IO_L16N_T2_A27_15
C3,216,IPAD_X1Y24,GTP_CHANNEL_2_X97Y139,MGTPRXN2_216
C4,216,IPAD_X1Y25,GTP_CHANNEL_2_X97Y139,MGTPRXP2_216
