pin,bank,site,tile,pin_function
A2,35,IOB_X1Y109,RIOB33_X57Y109,IO_L20N_T3_35
A3,35,IOB_X1Y110,RIOB33_X57Y109,IO_L20P_T3_35
A4,35,IOB_X1Y117,RIOB33_X57Y117,IO_L16N_T2_35
A5,35,IOB_X1Y119,RIOB33_X57Y119,IO_L15N_T2_DQS_35
A7,216,OPAD_X0Y8,GTP_CHANNEL_0_X130Y162,MGTPTXN0_216
A9,216,OPAD_X0Y12,GTP_CHANNEL_2_X130Y191,MGTPTXN2_216
A11,216,IPAD_X1Y36,GTP_CHANNEL_0_X130Y162,MGTPRXN0_216
A13,216,IPAD_X1Y54,GTP_CHANNEL_2_X130Y191,MGTPRXN2_216
A17,16,IOB_X0Y182,LIOB33_X0Y181,IO_L9P_T1_DQS_16
A18,16,IOB_X0Y181,LIOB33_X0Y181,IO_L9N_T1_DQS_16
A19,16,IOB_X0Y179,LIOB33_X0Y179,IO_L10N_T1_16
A20,16,IOB_X0Y169,LIOB33_X0Y169,IO_L15N_T2_DQS_16
A22,16,IOB_X0Y165,LIOB33_X0Y165,IO_L17N_T2_16
A23,16,IOB_X0Y158,LIOB33_X0Y157,IO_L21P_T3_DQS_16
A24,16,IOB_X0Y157,LIOB33_X0Y157,IO_L21N_T3_DQS_16
A25,16,IOB_X0Y159,LIOB33_X0Y159,IO_L20N_T3_16
AA11,213,IPAD_X1Y10,GTP_COMMON_X130Y23,MGTREFCLK1P_213
AA13,213,IPAD_X1Y8,GTP_COMMON_X130Y23,MGTREFCLK0P_213
AA22,13,IOB_X0Y34,LIOB33_X0Y33,IO_L8P_T1_13
AA23,13,IOB_X0Y33,LIOB33_X0Y33,IO_L8N_T1_13
AA24,13,IOB_X0Y36,LIOB33_X0Y35,IO_L7P_T1_13
AA25,13,IOB_X0Y39,LIOB33_X0Y39,IO_L5N_T0_13
AB11,213,IPAD_X1Y11,GTP_COMMON_X130Y23,MGTREFCLK1N_213
AB13,213,IPAD_X1Y9,GTP_COMMON_X130Y23,MGTREFCLK0N_213
AB24,13,IOB_X0Y32,LIOB33_X0Y31,IO_L9P_T1_DQS_13
AB25,13,IOB_X0Y35,LIOB33_X0Y35,IO_L7N_T1_13
AB26,13,IOB_X0Y44,LIOB33_X0Y43,IO_L3P_T0_DQS_13
AC8,213,OPAD_X0Y5,GTP_CHANNEL_2_X130Y35,MGTPTXP2_213
AC10,213,OPAD_X0Y1,GTP_CHANNEL_0_X130Y6,MGTPTXP0_213
AC12,213,IPAD_X1Y1,GTP_CHANNEL_0_X130Y6,MGTPRXP0_213
AC14,213,IPAD_X1Y19,GTP_CHANNEL_2_X130Y35,MGTPRXP2_213
AC24,13,IOB_X0Y31,LIOB33_X0Y31,IO_L9N_T1_DQS_13
AC26,13,IOB_X0Y43,LIOB33_X0Y43,IO_L3N_T0_DQS_13
AD8,213,OPAD_X0Y4,GTP_CHANNEL_2_X130Y35,MGTPTXN2_213
AD10,213,OPAD_X0Y0,GTP_CHANNEL_0_X130Y6,MGTPTXN0_213
AD12,213,IPAD_X1Y0,GTP_CHANNEL_0_X130Y6,MGTPRXN0_213
AD14,213,IPAD_X1Y18,GTP_CHANNEL_2_X130Y35,MGTPRXN2_213
AE7,213,OPAD_X0Y7,GTP_CHANNEL_3_X130Y46,MGTPTXP3_213
AE9,213,OPAD_X0Y3,GTP_CHANNEL_1_X130Y17,MGTPTXP1_213
AE11,213,IPAD_X1Y25,GTP_CHANNEL_3_X130Y46,MGTPRXP3_213
AE13,213,IPAD_X1Y7,GTP_CHANNEL_1_X130Y17,MGTPRXP1_213
AF7,213,OPAD_X0Y6,GTP_CHANNEL_3_X130Y46,MGTPTXN3_213
AF9,213,OPAD_X0Y2,GTP_CHANNEL_1_X130Y17,MGTPTXN1_213
AF11,213,IPAD_X1Y24,GTP_CHANNEL_3_X130Y46,MGTPRXN3_213
AF13,213,IPAD_X1Y6,GTP_CHANNEL_1_X130Y17,MGTPRXN1_213
B1,35,IOB_X1Y107,RIOB33_X57Y107,IO_L21N_T3_DQS_35
B2,35,IOB_X1Y111,RIOB33_X57Y111,IO_L19N_T3_VREF_35
B4,35,IOB_X1Y118,RIOB33_X57Y117,IO_L16P_T2_35
B5,35,IOB_X1Y120,RIOB33_X57Y119,IO_L15P_T2_DQS_35
B7,216,OPAD_X0Y9,GTP_CHANNEL_0_X130Y162,MGTPTXP0_216
B9,216,OPAD_X0Y13,GTP_CHANNEL_2_X130Y191,MGTPTXP2_216
B11,216,IPAD_X1Y37,GTP_CHANNEL_0_X130Y162,MGTPRXP0_216
B13,216,IPAD_X1Y55,GTP_CHANNEL_2_X130Y191,MGTPRXP2_216
B17,16,IOB_X0Y185,LIOB33_X0Y185,IO_L7N_T1_16
B19,16,IOB_X0Y180,LIOB33_X0Y179,IO_L10P_T1_16
B20,16,IOB_X0Y170,LIOB33_X0Y169,IO_L15P_T2_DQS_16
B21,16,IOB_X0Y167,LIOB33_X0Y167,IO_L16N_T2_16
B22,16,IOB_X0Y166,LIOB33_X0Y165,IO_L17P_T2_16
B24,16,IOB_X0Y153,LIOB33_X0Y153,IO_L23N_T3_16
B25,16,IOB_X0Y160,LIOB33_X0Y159,IO_L20P_T3_16
B26,16,IOB_X0Y155,LIOB33_X0Y155,IO_L22N_T3_16
C1,35,IOB_X1Y108,RIOB33_X57Y107,IO_L21P_T3_DQS_35
C2,35,IOB_X1Y112,RIOB33_X57Y111,IO_L19P_T3_35
C3,35,IOB_X1Y115,RIOB33_X57Y115,IO_L17N_T2_35
C4,35,IOB_X1Y121,RIOB33_X57Y121,IO_L14N_T2_SRCC_35
C8,216,OPAD_X0Y10,GTP_CHANNEL_1_X130Y173,MGTPTXN1_216
C10,216,OPAD_X0Y14,GTP_CHANNEL_3_X130Y202,MGTPTXN3_216
C12,216,IPAD_X1Y60,GTP_CHANNEL_3_X130Y202,MGTPRXN3_216
C14,216,IPAD_X1Y42,GTP_CHANNEL_1_X130Y173,MGTPRXN1_216
C17,16,IOB_X0Y186,LIOB33_X0Y185,IO_L7P_T1_16
C18,16,IOB_X0Y175,LIOB33_X0Y175,IO_L12N_T1_MRCC_16
C19,16,IOB_X0Y173,LIOB33_X0Y173,IO_L13N_T2_MRCC_16
C21,16,IOB_X0Y168,LIOB33_X0Y167,IO_L16P_T2_16
C22,16,IOB_X0Y162,LIOB33_X0Y161,IO_L19P_T3_16
C23,16,IOB_X0Y161,LIOB33_X0Y161,IO_L19N_T3_VREF_16
